doi,year
10.1021/acs.jmedchem.2c00756,2022.0
10.1021/acs.jmedchem.2c00771,2022.0
10.1021/acs.jmedchem.2c00807,2022.0
10.1021/acs.jmedchem.2c01149,2022.0
10.1021/acs.jmedchem.2c01218,2022.0
10.1021/acs.jmedchem.2c01243,2022.0
10.1021/acs.jmedchem.2c01300,2022.0
10.1021/acs.jmedchem.2c01454,2022.0
10.1021/acs.jmedchem.2c01505,2022.0
10.1021/acs.jmedchem.2c01659,2022.0
10.1021/acs.jmedchem.2c01665,2023.0
10.1021/acs.jmedchem.2c01682,2023.0
10.1021/acs.jmedchem.2c01817,2023.0
10.1021/acs.jmedchem.2c01843,2023.0
10.1021/acs.jmedchem.2c01859,2023.0
10.1021/acs.jmedchem.2c01864,2023.0
10.1021/acs.jmedchem.2c01941,2023.0
10.1021/acs.jmedchem.2c01990,2022.0
10.1021/acs.jmedchem.2c02032,2023.0
10.1021/acs.jmedchem.2c02078,2023.0
10.1021/acs.jmedchem.3c00075,2023.0
10.1021/acs.jmedchem.3c00118,2023.0
10.1021/acs.jmedchem.3c00150,2023.0
10.1021/acs.jmedchem.3c00176,2023.0
10.1021/acs.jmedchem.3c00274,2023.0
10.1021/acs.jmedchem.3c00405,2023.0
10.1021/acs.jmedchem.3c00492,2023.0
10.1021/acs.jmedchem.3c00505,2023.0
10.1021/acs.jmedchem.3c00520,2023.0
10.1021/acs.jmedchem.3c00585,2023.0
10.1021/acs.jmedchem.3c00665,2023.0
10.1021/acs.jmedchem.3c00822,2023.0
10.1021/acs.jmedchem.3c00824,2023.0
10.1021/acs.jmedchem.3c00851,2023.0
10.1021/acs.jmedchem.3c00864,2023.0
10.1021/acs.jmedchem.3c00912,2023.0
10.1021/acs.jmedchem.3c00953,2023.0
10.1021/acs.jmedchem.3c00982,2023.0
10.1021/acs.jmedchem.3c01007,2024.0
10.1021/acs.jmedchem.3c01137,2023.0
10.1021/acs.jmedchem.3c01144,2023.0
10.1021/acs.jmedchem.3c01186,2023.0
10.1021/acs.jmedchem.3c01264,2023.0
10.1021/acs.jmedchem.3c01348,2023.0
10.1021/acs.jmedchem.3c01414,2024.0
10.1021/acs.jmedchem.3c01468,2024.0
10.1021/acs.jmedchem.3c01493,2023.0
10.1021/acs.jmedchem.3c01521,2023.0
10.1021/acs.jmedchem.3c01613,2023.0
10.1021/acs.jmedchem.3c01622,2024.0
10.1021/acs.jmedchem.3c01719,2024.0
10.1021/acs.jmedchem.3c01765,2024.0
